Study ID,Title,Authors,Year,Source,Role,Reason not counted as core,How it is used,PDF file,Metadata status,Notes
80,Why Do Multi-Agent LLM Systems Fail?,Mert Cemri et al.,2025,NeurIPS 2025 Datasets and Benchmarks,Foundation / adjacent,Multi-agent failure taxonomy and cascading failure evidence; useful for blast...,Background / comparison / methods foundation,2503.13657v3.pdf,Verified,Matches corpus ID 80 (MAST).
79,A Lattice Model of Secure Information Flow,Dorothy E. Denning,1976,Communications of the ACM 19(5),Foundation,"Foundational information-flow model supporting isolation, authority, and leas...",Background / comparison / methods foundation,360051.360056.pdf,Verified,Matches corpus ID 79.
78,A Comparison of Commercial and Military Computer Security Policies,David D. Clark and David R. Wilson,1987,IEEE Symposium on Security and Privacy,Foundation,Foundational integrity-policy paper supporting the distinction between byte i...,Background / comparison / methods foundation,A_Comparison_of_Commercial_and_Military.pdf,Verified,Matches corpus ID 78.
77,Efficient Data Structures for Tamper-Evident Logging,Scott A. Crosby and Dan S. Wallach,2009,USENIX Security Symposium,Foundation,Supports the independent append-only evidence plane and efficient proofs of e...,Background / comparison / methods foundation,crosby.pdf,Verified,Matches corpus ID 77.
71,Guide to Integrating Forensic Techniques into Incident Response,Karen Kent et al.,2006,NIST Special Publication 800-86,Standard / foundation,"Provides the forensic process foundation: collection, examination, analysis, ...",Background / comparison / methods foundation,nistspecialpublication800-86.pdf,Verified,Matches corpus ID 71.
70,PROV-DM: The PROV Data Model,Luc Moreau and Paolo Missier (eds.),2013,W3C Recommendation,Standard / foundation,"Core provenance vocabulary for entities, activities, agents, derivation, resp...",Background / comparison / methods foundation,PROV-DM_ The PROV Data Model.pdf,Verified,Matches corpus ID 70.
69,TOFU: A Task of Fictitious Unlearning for LLMs,Pratyush Maini et al.,2024,COLM 2024,Foundation / benchmark,Model-level unlearning benchmark; useful only as a conceptual foundation for ...,Background / comparison / methods foundation,424_TOFU_A_Task_of_Fictitious_.pdf,Verified,Matches corpus ID 69; keep outside primary corpus unless used only for recove...
68,Machine Unlearning,Lucas Bourtoule et al.,2021,IEEE Symposium on Security and Privacy,Foundation,Foundational SISA unlearning work showing that removing influence differs fro...,Background / comparison / methods foundation,1912.03817v3.pdf,Verified,Matches corpus ID 68.
64,INJECAGENT: Benchmarking Indirect Prompt Injections in Tool-Integrated Large ...,Qiusi Zhan et al.,2024,Findings of ACL 2024,Benchmark / adjacent,"A strong benchmark for indirect prompt injection and tool-mediated harm, but ...",Background / comparison / methods foundation,2024.findings-acl.624.pdf,Verified,"Matches corpus ID 64. Use in background and benchmark comparison, not the cor..."
63,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Def...,Edoardo Debenedetti et al.,2024,NeurIPS 2024 Datasets and Benchmarks,Benchmark / adjacent,"Provides realistic stateful tool-use tasks, attacks, defenses, and utility-se...",Background / comparison / methods foundation,2406.13352v3.pdf,Verified,Matches corpus ID 63. Keep outside the core primary corpus unless used only f...
58,MemBench: Towards More Comprehensive Evaluation on the Memory of LLM-Based Ag...,Haoran Tan et al.,2025,Findings of ACL 2025,Benchmark / capability,Evaluates factual and reflective memory across participation and observation ...,Background / comparison / methods foundation,2025.findings-acl.989.pdf,Verified,Matches corpus ID 58. Retain in the benchmark landscape rather than the core ...
57,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,Di Wu et al.,2025,ICLR 2025,Benchmark / capability,"Foundational long-term memory benchmark covering extraction, multi-session re...",Background / comparison / methods foundation,2410.10813v2.pdf,Verified,Matches corpus ID 57.
56,When Machine Unlearning Meets Retrieval-Augmented Generation (RAG): Keep Secr...,Shang Wang et al.,2025,arXiv preprint,Defense / adjacent,RAG-based behavioral unlearning is useful for recovery and reappearance discu...,Background / comparison / methods foundation,2410.15267v2.pdf,Verified,"Matches corpus ID 56. Use as adjacent recovery literature, not a core persist..."
52,Traceback of Poisoning Attacks to Retrieval-Augmented Generation,Baolei Zhang et al.,2025,ACM Web Conference 2025,Defense / traceback,"Important post-hoc traceback method that identifies poisoned RAG texts, but i...",Background / comparison / methods foundation,2504.21668v2.pdf,Verified,Matches corpus ID 52. DOI 10.1145/3696410.3714756.
51,BlindGuard: Safeguarding LLM-Based Multi-Agent Systems under Unknown Attacks,Rui Miao et al.,2026,arXiv preprint,Defense / multi-agent,"Unsupervised graph anomaly detection for malicious-agent propagation, includi...",Background / comparison / methods foundation,2508.08127v2.pdf,Verified,Matches corpus ID 51. Uploaded revision is dated April 2026; update year/stat...
49,ISOLATEGPT: An Execution Isolation Architecture for LLM-Based Agentic Systems,Yuhao Wu et al.,2025,NDSS 2025,Defense / architecture,Strong execution-isolation and containment architecture for agent apps. It se...,Background / comparison / methods foundation,2403.04960v2.pdf,Verified,Matches corpus ID 49. Use for containment and isolation background.
48,Progent: Securing AI Agents with Privilege Control,Tianneng Shi et al.,2026,arXiv preprint,Defense / privilege control,Deterministic least-privilege enforcement over tool calls and arguments with ...,Background / comparison / methods foundation,2504.11703v3.pdf,Verified,Matches corpus ID 48. Uploaded revision is May 2026; update year/status accor...
47,Securing AI Agents with Information-Flow Control,Manuel Costa et al.,2025,arXiv preprint,Defense / information-flow control,Formal IFC model and FIDES planner provide deterministic integrity/confidenti...,Background / comparison / methods foundation,2505.23643v2.pdf,Verified,Matches corpus ID 47. Use as a system-level control and provenance foundation.
46,Defeating Prompt Injections by Design,Edoardo Debenedetti et al.,2025,arXiv preprint,Defense / capability control,CaMeL separates trusted control flow from untrusted data flow and tracks prov...,Background / comparison / methods foundation,2503.18813v2.pdf,Verified,Matches corpus ID 46. Use as adjacent prevention and evidentiary-control lite...
45,RevPRAG: Revealing Poisoning Attacks in Retrieval-Augmented Generation throug...,Xue Tan et al.,2025,Findings of EMNLP 2025,Defense / detection,Detects poisoned RAG responses using internal activation patterns with high r...,Background / comparison / methods foundation,2025.findings-emnlp.698.pdf,Verified,Matches corpus ID 45.
