ID,Full title,Authors,Year,Publication status,Venue,DOI / arXiv / ID,PDF file,Evidence group,Memory form,Agent setting,Primary lifecycle phase,Attack / control mechanism,Attacker access / trust assumption,Activation / persistence,Concise study contribution,Key reported result,Forensic artefacts available,Provenance,Source attribution,Causal reconstruction,Blast-radius support,Recovery support,PDF status,Uploaded filename,Main manuscript role,Selection status,Extraction status,Verification note
10,AgentPoison: Red-Teaming LLM Agents via Poisoning Memory or Knowledge Bases,Zhaorun Chen et al.,2024,Peer-reviewed,NeurIPS 2024,2407.12784,NeurIPS-2024-agentpoison-red-teaming-llm-agents-via-poisoning-memory-or-knowledge-bases-Paper-Conference.pdf,Attack / backdoor,Episodic / demonstration memory; RAG KB,Autonomous driving; QA; healthcare,Store / Retrieve,Backdoor poisoning with optimized embedding trigger,Direct write to memory or knowledge base,Trigger-based; recurrent,Foundational peer-reviewed backdoor attack on long-term agent memory and RAG knowledge bases using optimized embedding-space triggers.,≥80% attack success; <0.1% poison rate; ≤1% benign-performance impact.,"Poisoned records, trigger, retrieval scores, agent outputs/actions",No,Partial,Partial,No,No,Complete PDF,NeurIPS-2024-agentpoison-red-teaming-llm-agents-via-poisoning-memory-or-knowledge-bases-Paper-Conference.pdf,Attack foundations; direct-write threat model,Core include,Full text available,"Matches corpus ID 10. Extract poison rate, retrieval rate, ASR, benign utility, transferability, and direct-write assumption."
11,Memory Injection Attacks on LLM Agents via Query-Only Interaction,Shen Dong et al.,2025,Peer-reviewed,NeurIPS 2025,2503.03704,16400_Memory_Injection_Attacks.pdf,Attack / query-only injection,Episodic / demonstration memory,Multiple LLM-agent domains,Write / Retrieve,Query-only memory injection using bridging steps,Black-box query and output access; no direct memory access,Victim-term / query-conditioned,Peer-reviewed query-only attack that induces the agent to generate and store malicious demonstrations without direct memory access.,Demonstrates durable malicious writes through normal agent interaction; verify per-agent ASR from paper tables.,"Injection queries, generated demonstrations, retrieval records, harmful reasoning steps",No,Partial,Partial,No,No,Complete PDF,16400_Memory_Injection_Attacks.pdf,Attack entry channels; query-only injection,Core include,Full text available,"Matches corpus ID 11. Extract bridging steps, progressive shortening, agents/domains, injection success, and attack-access assumptions."
12,Unveiling Privacy Risks in LLM Agent Memory,Bo Wang et al.,2025,Peer-reviewed,ACL 2025,2502.13172,2025.acl-long.1227.pdf,Attack / privacy extraction,Historical user–agent interaction memory,Two representative LLM agents,Retrieve / Execute,Black-box memory extraction attack (MEXTRA),External black-box querying with varying knowledge levels,Repeated elicitation,Peer-reviewed black-box Memory EXTRaction Attack against private user-agent interaction records in long-term memory. Core confidentiality evidence.,Shows private long-term-memory records can be extracted; leakage varies with memory and attacker knowledge.,"Attack prompts, retrieved private records, generated disclosures",No,No,Partial,No,No,Complete PDF,2025.acl-long.1227.pdf,Confidentiality and privacy extraction,Core include,Full text available,"Matches corpus ID 12. DOI 10.18653/v1/2025.acl-long.1227; extract attacker knowledge, agents, leakage metrics, and memory-design factors."
13,"Poison Once, Exploit Forever: Environment-Injected Memory Poisoning Attacks on Web Agents",Wei Zou et al.,2026,Preprint,arXiv,2604.02623,2604.02623v2.pdf,Attack / web-agent memory,Trajectory memory: raw and consolidated,Web agents in (Visual)WebArena,Acquire / Write / Retrieve,Environment-injected trajectory memory poisoning (eTAMP),Controls webpage content only; no memory access,Cross-session and cross-site,"Direct environment-only poisoning of trajectory memory through manipulated web observations, producing cross-session and cross-site compromise without direct memory access.","ASR up to 32.5% (GPT-5-mini), 23.4% (GPT-5.2), 19.5% (GPT-OSS-120B); stress can raise ASR up to 8×.","Contaminated observations, stored trajectories, retrievals, future web actions",No,Partial,Partial,Partial,No,Complete PDF,2604.02623v2.pdf,Indirect environmental write channels; web-agent attacks,Core include,Full text available,"Matches corpus ID 13. Extract consolidated versus unconsolidated memory, frustration effects, models, tasks, and permission-defense bypass."
14,InjecMEM: Memory Injection Attack on LLM Agent Memory Systems,Anonymous authors,2026,Preprint,OpenReview,QVX6hcJ2um,18062_InjecMEM_Memory_Injectio.pdf,Attack / memory injection,Layered long-term memory (MemoryOS),Memory-augmented conversational agents,Write / Retrieve,Retriever-agnostic anchor plus adversarial command,One interaction; optional compromised-tool write path,Topic-conditioned targeted generation,Direct one-interaction memory injection against layered MemoryOS using a retriever-agnostic anchor and adversarial command robust to memory drift and fused contexts.,Corpus notes report up to 76.6% ASR; verify exact retrieval and persistence values from final tables.,"Injected record, anchor cues, retrieval events, target outputs",No,Partial,Partial,No,No,Complete PDF,18062_InjecMEM_Memory_Injectio.pdf,Memory-system-specific injection attacks,Core include,Full text available,"Matches corpus ID 14. Keep authors anonymous until an official version is available; record targeted generation, retrieval rate, persistence, and indirect tool-write path."
15,MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval,Saksham Sahai Srivastava and Haoyu He,2025,Preprint,arXiv,2512.16962,2512.16962v1.pdf,Attack / experience memory,Experience / procedural memory in RAG store,MetaGPT DataInterpreter,Write / Retrieve / Execute,Poisoned successful experiences exploiting semantic imitation,Indirect ingestion-level artefacts,Semantically similar future tasks; trigger-free,"Indirectly implants malicious successful experiences that are later semantically retrieved and imitated, creating trigger-free procedural drift across sessions.",Small poisoned sets dominate retrieved experiences and induce persistent behavioral drift; verify exact ratios.,"Poisoned experience templates, retrieved examples, adopted unsafe procedures",No,Partial,Partial,No,No,Complete PDF,2512.16962v1.pdf,Experience and procedural-memory compromise,Core include,Full text available,"Matches corpus ID 15. Core evidence for episodic/procedural memory, semantic imitation, and experience-to-action contamination."
16,From Storage to Steering: Memory Control Flow Attacks on LLM Agents,Zhenlin Xu et al.,2026,Preprint,arXiv,2603.15125,2603.15125v3.pdf,Attack / control flow,Action-oriented policy memory,LangChain and LlamaIndex tool agents,Retrieve / Execute,Memory control-flow attack (MCFA),Malicious policy stored in memory,Cross-task persistent,Directly shows that stored action-oriented policies can override user instructions and persistently alter tool selection and ordering across tasks.,Tool-selection corruption 91.7–100%; tool-order corruption 52.8–69.4%; persistence 97.2–100%.,"Memory reads, plans, tool-selection/order traces, system deviation",No,Partial,Yes,Partial,No,Complete PDF,2603.15125v3.pdf,Memory-to-action causal chain; tool control flow,Core include,Full text available,"Matches corpus ID 16. Extract control-flow traces, persistence horizon, deviation metrics, frameworks, and mitigation results."
17,Trojan Hippo: Weaponizing Agent Memory for Data Exfiltration,Debeshee Das et al.,2026,Preprint,arXiv,2605.01970,2605.01970v3.pdf,Attack / exfiltration,"Explicit, Mem0, RAG and context memory backends",Email assistant,Write / Retrieve / Execute,Dormant topic-triggered exfiltration payload,Single untrusted tool call / crafted email,Sensitive-topic trigger after long dormancy,"Direct persistent-memory exfiltration attack with single-tool-call ingestion,...",85–100% ASR on tested frontier models; activation after 100 benign sessions; defenses reduce ASR to 0–5% with utility costs.,"Email ingestion, memory entry, trigger session, send-email tool call, exfiltrated data",No,Partial,Yes,Partial,Partial,Complete PDF,2605.01970v3.pdf,Delayed activation; privacy exfiltration; security–utility trade-off,Core include,Full text available,"Matches corpus ID 17. Central privacy, delayed activation, evidence-chain, an..."
18,Hidden in Memory: Sleeper Memory Poisoning in LLM Agents,Sidharth Pulipaka et al.,2026,Preprint,arXiv,2605.15338,2605.15338v2.pdf,Attack / delayed activation,Persistent user-specific memory,Stateful assistants with external/internal memory managers,Acquire / Write / Retrieve / Execute,Universal sleeper memory poisoning,"Controls external document, webpage, email or repository",Delayed across future conversations,"Direct three-stage persistent-memory attack covering write, later retrieval, ...",Memory write up to 99.8%; retrieved poisoned memories cause intended behavior in 60–89%; end-to-end 41.0–73.9%.,"Tampered source, write decision, stored memory, later retrieval, downstream action",No,Partial,Yes,Partial,Partial,Complete PDF,2605.15338v2.pdf,Sleeper attacks; end-to-end evidence chain,Core include,Full text available,"Matches corpus ID 18. Record write, retrieval, behavioral-use rates, model fa..."
19,From Untrusted Input to Trusted Memory: A Systematic Study of Memory Poisonin...,Pritam Dash et al.,2026,Peer-reviewed workshop,ICML 2026 AIWILD Workshop,2606.04329,2606.04329v2.pdf,Attack taxonomy / benchmark,Multiple agent-memory systems,General memory-enabled agents,Write / Retrieve / Execute,Systematic vulnerability analysis and MPBench,Four write channels; multiple attacker capabilities,Six attack classes,"Systematic primary study identifying four memory-write channels, nine structu...","Identifies 4 write channels, 9 structural vulnerabilities and 6 attack classes; corpus notes report ASR 50% and RSR 41%.","Write-channel logs, vulnerabilities, poisoned memories, retrieval and behavior metrics",Partial,Partial,Partial,Partial,No,Complete PDF,2606.04329v2.pdf,Evidence-derived attack taxonomy and benchmark,Core include,Full text available,"Matches corpus ID 19. Code as primary benchmark/taxonomy evidence, not as a s..."
