ID,Study,Type,Protected lifecycle stage,Threat addressed,Core method,Trust assumptions,Prevention,Detection,Evidence preservation,Provenance,Attribution,Causal reconstruction,Blast radius,Rollback / recovery,Key reported result,Main limitation / verification,Manuscript role
34,VerificAgent: Domain-Specific Memory Verification for Scalable Oversight of A...,Defense / verification,Write / Validate / Store,Human-verified memory freezing and safety contract,Human-verified memory freezing and safety contract,Trusted expert seeds and human fact checking,Yes,Partial,Moderate,Partial,Partial,Partial,No,Partial,Demonstrates scalable oversight through frozen verified memory; verify safety/utility and reviewer-effort metrics.,"Verify exact quantitative results, overhead and boundary conditions from full tables.",Write-time verification and human oversight
35,PROV-AGENT: Unified Provenance for Tracking AI Agent Interactions in Agentic ...,Provenance / system,All lifecycle phases,"W3C-PROV extension for prompts, tools, memory and actions","W3C-PROV extension for prompts, tools, memory and actions",Trusted instrumentation,Partial,Partial,Strong,Yes,Yes,Partial,Partial,Partial,Provides near-real-time provenance capture for agent workflows; extract overhead and case-study evidence.,System / framework evidence; not a broad independent security evaluation.,Provenance foundation and evidence schema
36,MemOS: A Memory OS for AI System,Provenance / system,Store / Update / Snapshot / Rollback,"Memory OS with source, version, sensitivity and lifecycle metadata","Memory OS with source, version, sensitivity and lifecycle metadata",System architecture,Partial,Partial,Strong,Yes,Partial,No,Partial,Yes,"Systems substrate rather than attack evaluation; documents snapshot, version and rollback capabilities.",System / framework evidence; not a broad independent security evaluation.,Forensic-ready memory architecture
37,MemLineage: Lineage-Guided Enforcement for LLM Agent Memory,Defense / provenance,Write / Store / Retrieve / Execute / Recover,"Signed entries, Merkle log, derivation DAG and policy gating","Signed entries, Merkle log, derivation DAG and policy gating",Trusted signing / policy infrastructure,Yes,Partial,Strong,Yes,Yes,Partial,Yes,Yes,Provides chain-of-custody and lineage-guided enforcement; verify evaluation scale and overhead.,"Verify exact quantitative results, overhead and boundary conditions from full tables.",Tamper-evident provenance and dependency-aware revocation
38,"Securing LLM-Agent Long-Term Memory Against Poisoning: Non-Malleable, Origin-Bound Authority with Machine-Checked Guarantees",Defense / formal authority,Write / Transform / Execute,Non-malleable origin-bound authority with formal guarantees,Non-malleable origin-bound authority with formal guarantees,Formal authority labels and machine-checked policy,Yes,Partial,Strong,Yes,Yes,Partial,Partial,Partial,Machine-checked guarantees against provenance laundering under stated assumptions; extract threat model and proof scope.,"Verify exact quantitative results, overhead and boundary conditions from full tables.",Provenance versus authority; formal guarantees
39,MemAudit: Post-hoc Auditing of Poisoned Agent Memory via Causal Attribution and Structural Anomaly Detection,Defense / post-hoc audit,Post hoc: Retrieve / Execute / Audit,Counterfactual influence plus structural anomaly detection,Counterfactual influence plus structural anomaly detection,Post-incident access to memory and execution observations,Partial,Yes,Strong,Partial,Yes,Yes,Partial,Partial,"Direct post-hoc forensic study; extract attribution accuracy, ranking quality and ablation results.","Verify exact quantitative results, overhead and boundary conditions from full tables.",Incident reconstruction and causal-confidence ladder
40,Forensic Trajectory Signatures for Agent Memory Poisoning Detection,Defense / forensics,Execute / Detect,Forensic trajectory signatures and real-time blocking,Forensic trajectory signatures and real-time blocking,Execution logs only,Partial,Yes,Strong,No,Yes,Partial,Partial,No,Distinguishes memory-channel attacks from prompt injection using behavior traces; verify detection rates and false positives.,"Verify exact quantitative results, overhead and boundary conditions from full tables.",Behavioral evidence and attack-channel attribution
42,A-MemGuard: A Proactive Defense Framework for LLM-Based Agent Memory,Defense,Write / Validate / Retrieve / Recover,Consensus validation plus adaptive lesson-memory correction,Consensus validation plus adaptive lesson-memory correction,Defense layer observes candidate memory and context,Yes,Partial,Moderate,Partial,Partial,Partial,No,Yes,Memory-native proactive defense interrupts self-reinforcing poisoning cycles; verify detection/utility values.,"Verify exact quantitative results, overhead and boundary conditions from full tables.","Prevention, adaptive correction and recovery"
50,Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control,Defense / governance,Write / Share / Retrieve / Update,"Dynamic access control, immutable provenance and retrospective permission checks","Dynamic access control, immutable provenance and retrospective permission checks",Role/principal-scoped policy,Yes,Partial,Strong,Yes,Yes,No,Yes,Partial,Demonstrates auditable shared-memory governance; verify policy overhead and evaluation scale.,System / framework evidence; not a broad independent security evaluation.,"Access control, shared memory and accountability"
53,SuperLocalMemory: Privacy-Preserving Multi-Agent Memory with Bayesian Trust Defense Against Memory Poisoning,Defense / system,Write / Retrieve / Share / Erase,Local isolation and Bayesian trust defense,Local isolation and Bayesian trust defense,Per-agent provenance and trust scoring,Yes,Partial,Strong,Yes,Yes,Partial,Yes,Yes,Reports poisoning defense and privacy-preserving local memory; verify quantitative security/utility results.,System / framework evidence; not a broad independent security evaluation.,Trust-aware multi-agent memory and erasure
54,MEMSAD: Gradient-Coupled Anomaly Detection for Memory Poisoning in Retrieval-Augmented Agents,Defense,Write / Retrieve / Detect,Gradient-coupled calibrated anomaly detection,Gradient-coupled calibrated anomaly detection,Defense monitors memory records and gradients/features,Yes,Yes,Moderate,Partial,Partial,No,No,No,"Provides theoretical and empirical detection guarantees; extract TPR/FPR, calibration and system overhead.","Verify exact quantitative results, overhead and boundary conditions from full tables.",Memory-poisoning detection
55,Agentic Unlearning: When LLM Agent Meets Machine Unlearning,Defense / recovery,Forget / Recover,Dependency-closure unlearning and synchronized memory/parameter recovery,Dependency-closure unlearning and synchronized memory/parameter recovery,Recovery authority over memories and model updates,Partial,Partial,Strong,Partial,Partial,Partial,Yes,Yes,"Targets parameter–memory backflow and recontamination; extract forgetting efficacy, utility and residual-risk metrics.","Verify exact quantitative results, overhead and boundary conditions from full tables.",Recovery completeness and recontamination
70,Defense Effectiveness Across Architectural Layers: A Mechanistic Evaluation of Persistent Memory Attacks on Stateful LLM Agents,Defense / mechanistic evaluation,Acquire / Retrieve / Write / Execute,Delayed-trigger RAG-to-memory injection and cross-session execution,"Six defenses across four architectural layers, including memory-layer tool gating and content-layer RATG",Defense effectiveness depends on which architectural layer observes the payload and on model reasoning capability,Yes,Partial,Limited,No,No,Partial,No,No,"Across 5,040 runs, five of six defenses fail in the principal evaluation; memory-layer tool gating reaches 0% ASR for eight of nine models, while a reasoning model bypasses it through RAG fallback.","Preprint; model-, provider-, corpus-, and reasoning-mode dependence. No end-to-end forensic reconstruction or recovery evaluation.",Architecture-sensitive defense evaluation and limits of prevention-only controls
71,Towards Security-Auditable LLM Agents: A Unified Graph Representation,Provenance / auditing system,All lifecycle phases / post-hoc audit,"Fragmented evidence, semantic gaps, memory contamination, tool misuse, and multi-agent risk propagation",Agent-BOM hierarchical attributed directed graph plus graph-query-based path-level risk assessment,Trusted runtime instrumentation and faithful audit-graph construction,Partial,Yes,Strong,Yes,Yes,Yes,Yes,No,"The implemented plugin reconstructs representative chains involving cross-session memory poisoning and tool misuse, supply-chain hijacking, multi-agent ecosystem hijacking, and privilege or trust abuse.",Preprint and prototype evaluation; recovery completeness is not evaluated.,"Unified provenance graph, root-cause analysis, incident reconstruction, and propagation tracing"
