ID,Database,Purpose,Search string (native syntax),Filters,Search date,Execution status,Raw results (fill in)
S1,IEEE Xplore,Broad persistent-memory security,"((""All Metadata"":""LLM agent"" OR ""All Metadata"":""agentic AI"") AND (""All Metadata"":""persistent memory"" OR ""All Metadata"":""agent memory"") AND (""All Metadata"":security OR ""All Metadata"":poisoning OR ""All Metadata"":privacy))",2023–2026; journals+conf+early access; English,2026-07-15,Public search done; authenticated count/export pending,
S2,IEEE Xplore,Narrow forensic/recovery,"((""All Metadata"":""LLM agent"" OR ""All Metadata"":""agentic AI"") AND (""All Metadata"":""agent memory"") AND (""All Metadata"":forensic OR ""All Metadata"":provenance OR ""All Metadata"":rollback OR ""All Metadata"":recovery))",2023–2026; all types; English,2026-07-15,"Public search done; expect small N, inspect all",
S3,ACM Digital Library,Broad persistent-memory security,"(""LLM agent*"" OR ""large language model agent*"" OR ""agentic AI"" OR ""AI agent*"") AND (""persistent memory"" OR ""long-term memory"" OR ""agent memory"" OR ""memory bank"" OR ""shared memory"")",2023–2026; research articles+proceedings; English,2026-07-15,Public DOI search done; some pages 403 to automation,
S4,ACM Digital Library,Narrow forensic/recovery,"(""LLM agent*"" OR ""large language model agent*"" OR ""agentic AI"" OR ""AI agent*"") AND (""persistent memory"" OR ""long-term memory"" OR ""agent memory"" OR ""memory bank"" OR ""shared memory"") AND (forensic* OR provenance OR lineage OR rollback OR recovery OR ""incident"" OR audit* OR unlearn*)",2023–2026; research articles+proceedings; English,2026-07-15,Public DOI search done; adjust field selectors as needed,
S5,Scopus,Broad persistent-memory security,"TITLE-ABS-KEY((""LLM agent*"" OR ""large language model agent*"" OR ""agentic AI"" OR ""AI agent*"") AND (""persistent memory"" OR ""long-term memory"" OR ""agent memory"" OR ""memory bank"" OR ""shared memory""))","article, conference paper, review; English; ≤15 Jul 2026",2026-07-15,NOT executable without institutional access,
S6,Scopus,Narrow forensic/recovery,"TITLE-ABS-KEY((""LLM agent*"" OR ""large language model agent*"" OR ""agentic AI"" OR ""AI agent*"") AND (""persistent memory"" OR ""long-term memory"" OR ""agent memory"" OR ""memory bank"" OR ""shared memory"") AND (forensic* OR provenance OR lineage OR rollback OR recovery OR ""incident"" OR audit* OR unlearn*))","article, conference paper, review; English; ≤15 Jul 2026",2026-07-15,NOT executable without institutional access,
S7,Web of Science Core,Broad persistent-memory security,"TS=((""LLM agent*"" OR ""large language model agent*"" OR ""agentic AI"" OR ""AI agent*"") AND (""persistent memory"" OR ""long-term memory"" OR ""agent memory"" OR ""memory bank"" OR ""shared memory""))","2023–2026; SCI-EXP, SSCI, ESCI, CPCI-S; English",2026-07-15,NOT executable without institutional access,
S8,Web of Science Core,Narrow forensic/recovery,"TS=((""LLM agent*"" OR ""large language model agent*"" OR ""agentic AI"" OR ""AI agent*"") AND (""persistent memory"" OR ""long-term memory"" OR ""agent memory"" OR ""memory bank"" OR ""shared memory"") AND (forensic* OR provenance OR lineage OR rollback OR recovery OR ""incident"" OR audit* OR unlearn*))","2023–2026; SCI-EXP, SSCI, ESCI, CPCI-S; English",2026-07-15,NOT executable without institutional access,
S9,arXiv / OpenReview (supplementary),Capture rapidly emerging 2026 evidence,"(""LLM agent*"" OR ""large language model agent*"" OR ""agentic AI"" OR ""AI agent*"") AND (""persistent memory"" OR ""long-term memory"" OR ""agent memory"" OR ""memory bank"" OR ""shared memory"") (all fields)",≤15 Jul 2026; label preprints separately,2026-07-15,Public search + forward snowballing done,~40 screened
S10,Backward/forward snowballing,Completeness,Seeds: Lin et al.; the user draft; AgentPoison; MINJA; MEXTRA; MemLineage; MemAudit; RAGForensics; From Agent Traces to Trust,One backward + one forward pass; stop at saturation,2026-07-15,Completed for candidate corpus; citation-index verification still required,~80 screened
TR1,Cross-database terminology robustness,Manuscript search family S7,"((""LLM agent*"" OR ""large language model agent*"" OR ""language model agent*"") AND (state OR summary OR experience OR profile OR skill OR ""workflow state"" OR ""knowledge base"") AND (contamination OR laundering OR extraction OR audit* OR ""architectural layer"" OR provenance OR forensic* OR recovery))",Title/abstract/keywords where supported; evidence cut-off 13 Jul 2026,2026-07-13,Completed; four eligible additions identified,4 eligible additions
