ID,Study,Authors,Year,Publication status,Evidence role,Provenance,Attribution,Causal reconstruction,Blast radius,Recovery,DOI / arXiv / ID
10,AgentPoison: Red-Teaming LLM Agents via Poisoning Memory or Knowledge Bases,Zhaorun Chen et al.,2024,Peer-reviewed,Attack/failure,No,Partial,Partial,No,No,2407.12784
11,Memory Injection Attacks on LLM Agents via Query-Only Interaction,Shen Dong et al.,2025,Peer-reviewed,Attack/failure,No,Partial,Partial,No,No,2503.03704
12,Unveiling Privacy Risks in LLM Agent Memory,Bo Wang et al.,2025,Peer-reviewed,Attack/failure,No,No,Partial,No,No,2502.13172
13,"Poison Once, Exploit Forever: Environment-Injected Memory Poisoning Attacks on Web Agents",Wei Zou et al.,2026,Preprint,Attack/failure,No,Partial,Partial,Partial,No,2604.02623
14,InjecMEM: Memory Injection Attack on LLM Agent Memory Systems,Anonymous authors,2026,Preprint,Attack/failure,No,Partial,Partial,No,No,QVX6hcJ2um
15,MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval,Saksham Sahai Srivastava and Haoyu He,2025,Preprint,Attack/failure,No,Partial,Partial,No,No,2512.16962
16,From Storage to Steering: Memory Control Flow Attacks on LLM Agents,Zhenlin Xu et al.,2026,Preprint,Attack/failure,No,Partial,Yes,Partial,No,2603.15125
17,Trojan Hippo: Weaponizing Agent Memory for Data Exfiltration,Debeshee Das et al.,2026,Preprint,Attack/failure,No,Partial,Yes,Partial,Partial,2605.01970
18,Hidden in Memory: Sleeper Memory Poisoning in LLM Agents,Sidharth Pulipaka et al.,2026,Preprint,Attack/failure,No,Partial,Yes,Partial,Partial,2605.15338
19,From Untrusted Input to Trusted Memory: A Systematic Study of Memory Poisonin...,Pritam Dash et al.,2026,Peer-reviewed workshop,Benchmark,Partial,Partial,Partial,Partial,No,2606.04329
20,MemMorph: Tool Hijacking in LLM Agents via Memory Poisoning,Xuanye Zhang et al.,2026,Preprint,Attack/failure,No,Partial,Yes,Partial,No,2605.26154
21,Zombie Agents: Persistent Control of Self-Evolving LLM Agents via Self-Reinfo...,Xianglin Yang et al.,2026,Preprint,Attack/failure,No,Partial,Yes,Partial,Partial,2602.15654
22,No Attacker Needed: Unintentional Cross-User Contamination in Shared-State LL...,Tiankai Yang et al.,2026,Preprint,Attack/failure,Partial,Partial,Partial,Yes,Partial,2604.01350
24,Visual Inception: Compromising Long-Term Planning in Agentic Recommenders via...,Jiachen Qian,2026,Preprint,Attack/failure,No,Partial,Yes,No,Partial,2604.16966
26,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents E...,Xiangming Gu et al.,2024,Peer-reviewed,Attack/failure,No,Partial,Partial,Yes,No,2402.08567
29,What If Prompt Injection Never Left? Exploring Cross-Session Stored Prompt In...,Yuanbo Xie et al.,2026,Preprint,Attack/failure,Partial,Partial,Partial,Partial,Partial,2606.04425
