#,Short name / method,First author,Year,Pub status,Venue,arXiv / DOI,IEEE,ACM,Scopus,WoS,Indexing confidence,Type,Relevance to forensic-readiness survey,Cited in draft?,Reviewer expects?
1,Lin et al. — LTM Security across Lifecycle (Mnemonic Sovereignty),Lin,2026,Preprint,arXiv,2604.16548,,,,,Preprint,Survey,PRIMARY competitor: 6-phase lifecycle x 4 objectives + VMG primitives. v1/v2 are the SAME paper.,Yes,Yes
2,From Agent Traces to Trust — Evidence Tracing & Execution Provenance,Wang,2026,Preprint,arXiv/OpenReview,2606.04990,,,,,Preprint,Survey,HIGHEST overlap: provenance survey w/ dedicated memory-provenance + audit/recovery + benchmark-gap.,Yes,Yes
3,"Always-On Agents — Persistent Memory, State & Governance",(Always-On),2026,Preprint,arXiv,2606.30306,,,,,Preprint,Survey,Persistent-state survey; makes authority & recoverability first-class. Add to Table 11.,No,Yes
4,Memory in the Age of AI Agents,Hu,2026,Preprint,arXiv,2512.13564,,,,,Preprint,Survey,General agent-memory overview; same RAG-vs-agent-memory distinction you use.,Yes,Yes
5,Survey on Memory Mechanism of LLM-based Agents,Zhang,2025,Peer-reviewed,ACM TOIS 43(6),10.1145/3661638,,,,,Peer-reviewed,Survey,Canonical mechanism survey; peer-reviewed baseline you extend toward forensics.,Yes,Yes
6,"Towards Secure RAG — Threats, Defenses, Benchmarks",Mu,2026,Preprint,arXiv,2603.21654,,,,,Preprint,Survey,RAG-security review; adjacent — distinguish agent write-path from RAG corpus.,Yes,Yes
7,Security of LLM-based Agents (Attacks/Defenses/Applications),Tang,2026,Peer-reviewed,Information Fusion 127 (2026) 103941,10.1016/j.inffus.2025.103941,,,,,Peer-reviewed,Survey,Broad agent-security survey; memory is one slice. Broader-but-shallower contrast.,Yes,Yes
8,AI Meets Brain — Memory Systems Neuroscience to Agents,Liang,2025,Preprint,arXiv,2512.23343,,,,,Preprint,Survey,Neuroscience-to-agent memory survey; adjacent to your human-memory grounding.,Yes,No
9,From Storage to Experience — Evolution of Agent Memory,Luo,2026,Preprint,arXiv,2605.06716,,,,,Preprint,Survey,Memory-mechanism survey (capability). Cite as mechanism reference.,Yes,No
10,AgentPoison — poisoning memory/KB,Chen,2024,Peer-reviewed,NeurIPS 2024,2407.12784,,,,,Peer-reviewed,Attack,"Foundational memory/KB backdoor (<0.1% rate, >80% ASR). Must-cite.",Yes,Yes
11,"MINJA — memory injection, query-only",Dong,2025,Peer-reviewed,NeurIPS 2025,2503.03704,,,,,Peer-reviewed,Attack,Query-only durable writes; no DB access. Core write-path attack.,Yes,Yes
12,MEXTRA — Unveiling Privacy Risks in Agent Memory,Wang,2025,Peer-reviewed,ACL 2025,2502.13172,,,,,Peer-reviewed,Attack,Black-box memory extraction; leakage scales with store. Core confidentiality attack.,Yes,Yes
13,eTAMP / Poison Once Exploit Forever — env-injected web-agent,Zou,2026,Preprint,arXiv,2604.02623,,,,,Preprint,Attack,Environment-only web-observation poisoning; cross-site. Key write-path escalation.,Yes,Yes
14,InjecMEM — memory injection on memory systems,Tian,2026,Preprint,OpenReview,QVX6hcJ2um,,,,,Preprint,Attack,Retriever-agnostic anchoring; 76.6% ASR on MemoryOS.,Yes,Yes
15,MemoryGraft — poisoned experience retrieval,Srivastava,2025,Preprint,arXiv,2512.16962,,,,,Preprint,Attack,"Procedural/experience grafting, trigger-free. Retrieve-to-execute threat.",Yes,Yes
16,MCFA / From Storage to Steering — memory control-flow,Xu,2026,Preprint,arXiv,2603.15125,,,,,Preprint,Attack,Retrieved memory overrides user instructions & dictates tool calls.,Yes,Yes
17,Trojan Hippo — weaponizing memory for exfiltration,Das,2026,Preprint,arXiv,2605.01970,,,,,Preprint,Attack,Dormant single-tool-call payload; topic-triggered exfiltration + adaptive red-team benchmark.,Yes,Yes
18,Hidden in Memory — sleeper memory poisoning,Pulipaka,2026,Preprint,arXiv,2605.15338,,,,,Preprint,Attack,Sleeper poisoning separating write from activation; universal single-shot payloads.,Yes,Yes
