ID,Study,Attack / failure class,Entry channel,Attacker capability,Memory target,Lifecycle point,Activation pattern,Downstream consequence,Persistence scope,Evidence left,Evidence obscured / missing,Attribution value,Recovery difficulty,Key metric / result,Manuscript subsection,Verification
10,AgentPoison: Red-Teaming LLM Agents via Poisoning Memory or Knowledge Bases,Attack / backdoor,Direct memory/KB write,Direct write to memory or knowledge base,Episodic / demonstration memory; RAG KB,Store / Retrieve,Trigger-based; recurrent,Persistent harmful reasoning or action,Cross-session,"Poisoned records, trigger, retrieval scores, agent outputs/actions",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,High,≥80% attack success; <0.1% poison rate; ≤1% benign-performance impact.,Attack foundations; direct-write threat model,Verify exact table values where noted
11,Memory Injection Attacks on LLM Agents via Query-Only Interaction,Attack / query-only injection,Query-only interaction,Black-box query and output access; no direct memory access,Episodic / demonstration memory,Write / Retrieve,Victim-term / query-conditioned,Persistent harmful reasoning or action,Cross-session,"Injection queries, generated demonstrations, retrieval records, harmful reaso...",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,High,Demonstrates durable malicious writes through normal agent interaction; verif...,Attack entry channels; query-only injection,Verify exact table values where noted
12,Unveiling Privacy Risks in LLM Agent Memory,Attack / privacy extraction,Memory record injection / poisoning,External black-box querying with varying knowledge levels,Historical user–agent interaction memory,Retrieve / Execute,Repeated elicitation,Privacy disclosure / exfiltration,Cross-session,"Attack prompts, retrieved private records, generated disclosures",Complete source-to-action lineage usually unavailable; provenance and write-a...,No,High,Shows private long-term-memory records can be extracted; leakage varies with ...,Confidentiality and privacy extraction,Verify exact table values where noted
13,"Poison Once, Exploit Forever: Environment-Injected Memory Poisoning Attacks o...",Attack / web-agent memory,External content / environment,Controls webpage content only; no memory access,Trajectory memory: raw and consolidated,Acquire / Write / Retrieve,Cross-session and cross-site,Persistent harmful reasoning or action,Cross-session,"Contaminated observations, stored trajectories, retrievals, future web actions",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,High,"ASR up to 32.5% (GPT-5-mini), 23.4% (GPT-5.2), 19.5% (GPT-OSS-120B); stress c...",Indirect environmental write channels; web-agent attacks,Verify exact table values where noted
14,InjecMEM: Memory Injection Attack on LLM Agent Memory Systems,Attack / memory injection,Memory record injection / poisoning,One interaction; optional compromised-tool write path,Layered long-term memory (MemoryOS),Write / Retrieve,Topic-conditioned targeted generation,Persistent harmful reasoning or action,Cross-session,"Injected record, anchor cues, retrieval events, target outputs",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,High,Corpus notes report up to 76.6% ASR; verify exact retrieval and persistence v...,Memory-system-specific injection attacks,Verify exact table values where noted
15,MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retr...,Attack / experience memory,Memory record injection / poisoning,Indirect ingestion-level artefacts,Experience / procedural memory in RAG store,Write / Retrieve / Execute,Semantically similar future tasks; trigger-free,Persistent harmful reasoning or action,Cross-session,"Poisoned experience templates, retrieved examples, adopted unsafe procedures",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,High,Small poisoned sets dominate retrieved experiences and induce persistent beha...,Experience and procedural-memory compromise,Verify exact table values where noted
16,From Storage to Steering: Memory Control Flow Attacks on LLM Agents,Attack / control flow,Memory record injection / poisoning,Malicious policy stored in memory,Action-oriented policy memory,Retrieve / Execute,Cross-task persistent,Tool selection or control-flow hijack,Cross-session,"Memory reads, plans, tool-selection/order traces, system deviation",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,High,Tool-selection corruption 91.7–100%; tool-order corruption 52.8–69.4%; persis...,Memory-to-action causal chain; tool control flow,Verify exact table values where noted
17,Trojan Hippo: Weaponizing Agent Memory for Data Exfiltration,Attack / exfiltration,Single tool call / email,Single untrusted tool call / crafted email,"Explicit, Mem0, RAG and context memory backends",Write / Retrieve / Execute,Sensitive-topic trigger after long dormancy,Privacy disclosure / exfiltration,Cross-session,"Email ingestion, memory entry, trigger session, send-email tool call, exfiltr...",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,Medium,85–100% ASR on tested frontier models; activation after 100 benign sessions; ...,Delayed activation; privacy exfiltration; security–utility trade-off,Verify exact table values where noted
18,Hidden in Memory: Sleeper Memory Poisoning in LLM Agents,Attack / delayed activation,External content / environment,"Controls external document, webpage, email or repository",Persistent user-specific memory,Acquire / Write / Retrieve / Execute,Delayed across future conversations,Persistent harmful reasoning or action,Cross-session,"Tampered source, write decision, stored memory, later retrieval, downstream a...",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,Medium,Memory write up to 99.8%; retrieved poisoned memories cause intended behavior...,Sleeper attacks; end-to-end evidence chain,Verify exact table values where noted
19,From Untrusted Input to Trusted Memory: A Systematic Study of Memory Poisonin...,Attack taxonomy / benchmark,Memory record injection / poisoning,Four write channels; multiple attacker capabilities,Multiple agent-memory systems,Write / Retrieve / Execute,Six attack classes,Persistent harmful reasoning or action,Cross-session,"Write-channel logs, vulnerabilities, poisoned memories, retrieval and behavio...",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,High,"Identifies 4 write channels, 9 structural vulnerabilities and 6 attack classe...",Evidence-derived attack taxonomy and benchmark,Verify exact table values where noted
20,MemMorph: Tool Hijacking in LLM Agents via Memory Poisoning,Attack / tool selection,Memory record injection / poisoning,Injects a small number of memory records,Long-term memory used for tool selection,Write / Retrieve / Execute,Context-dependent tool selection,Tool selection or control-flow hijack,Cross-session,"Poison records, retrieved guidance, tool-selection traces and actions",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,High,Up to 85.9% ASR with three records; up to 25% above strongest baseline; remai...,Tool hijacking and action authority,Verify exact table values where noted
21,Zombie Agents: Persistent Control of Self-Evolving LLM Agents via Self-Reinfo...,Attack / persistent control,External content / environment,Attacker-controlled web content only,Self-evolving long-term memory,Acquire / Write / Retrieve / Execute,Infection phase followed by later trigger,Persistent harmful reasoning or action,Cross-session,"Poisoned source, memory update, trigger retrieval, unauthorized action",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,Medium,Shows one-time indirect injection can survive across sessions using memory-sp...,Persistent control and reactivation,Verify exact table values where noted
22,No Attacker Needed: Unintentional Cross-User Contamination in Shared-State LL...,Non-adversarial failure / shared state,Memory record injection / poisoning,No attacker; benign interactions and state leakage,Shared multi-user agent state,Write / Share / Retrieve,Cross-user and later-session,Cross-user contamination,Cross-session,"User/state identifiers, writes, retrievals, wrong answers and residual state",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,Medium,Demonstrates silent harmful contamination without adversary; verify taxonomy ...,Non-adversarial incidents; shared-state blast radius,Verify exact table values where noted
24,Visual Inception: Compromising Long-Term Planning in Agentic Recommenders via...,Attack and defense / multimodal memory,Shared/multimodal propagation,Poisoned multimodal inputs,Persistent multimodal recommendation memory,Write / Retrieve / Execute,Delayed future planning,Persistent harmful reasoning or action,Cross-session,"Multimodal memory, retrieval, recommendations/plans, counterfactual verification",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,Medium,Demonstrates delayed multimodal-memory influence and evaluates counterfactual...,Multimodal memory and counterfactual investigation,Verify exact table values where noted
26,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents E...,Attack / multi-agent propagation,Shared/multimodal propagation,Malicious image introduced to one or more agents,Shared multimodal memory bank,Share / Propagate / Execute,Exponential agent-to-agent spread,Multi-agent propagation,Cross-agent / ecosystem,"Image payload, memory-bank copies, inter-agent propagation and harmful outputs",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,High,Shows exponential propagation across a very large multi-agent population; ext...,"Propagation, contagion and blast-radius analysis",Verify exact table values where noted
29,What If Prompt Injection Never Left? Exploring Cross-Session Stored Prompt In...,Attack / cross-session persistence,Persistent state write,Writes malicious state through normal system interactions,"Persistent state including memory, files, tools and skills",Write / Store / Retrieve,Later session / state retrieval,Persistent harmful reasoning or action,Cross-session,"Persistent-state object, later retrieval, downstream agent execution",Complete source-to-action lineage usually unavailable; provenance and write-a...,Partial,Medium,Provides taxonomy and evaluation of stored prompt injection across persistent...,Scope boundary: persistent memory and adjacent durable state,Verify exact table values where noted
