Study ID,Title,Authors,Year,Source,Role,Reason not counted as core,How it is used,PDF file,Metadata status,Notes
80,Why Do Multi-Agent LLM Systems Fail?,Mert Cemri et al.,2025,NeurIPS 2025 Datasets and Benchmarks,Foundation / adjacent,"Multi-agent failure taxonomy and cascading failure evidence; useful for blast-radius and propagation discussion, but not a persistent-memory primary study.",Background / comparison / methods foundation,2503.13657v3.pdf,Verified,Matches corpus ID 80 (MAST).
79,A Lattice Model of Secure Information Flow,Dorothy E. Denning,1976,Communications of the ACM 19(5),Foundation,"Foundational information-flow model supporting isolation, authority, and least-privilege arguments.",Background / comparison / methods foundation,360051.360056.pdf,Verified,Matches corpus ID 79.
78,A Comparison of Commercial and Military Computer Security Policies,David D. Clark and David R. Wilson,1987,IEEE Symposium on Security and Privacy,Foundation,"Foundational integrity-policy paper supporting the distinction between byte integrity, semantic validity, and well-formed transformation.",Background / comparison / methods foundation,A_Comparison_of_Commercial_and_Military.pdf,Verified,Matches corpus ID 78.
77,Efficient Data Structures for Tamper-Evident Logging,Scott A. Crosby and Dan S. Wallach,2009,USENIX Security Symposium,Foundation,Supports the independent append-only evidence plane and efficient proofs of event inclusion and log consistency.,Background / comparison / methods foundation,crosby.pdf,Verified,Matches corpus ID 77.
71,Guide to Integrating Forensic Techniques into Incident Response,Karen Kent et al.,2006,NIST Special Publication 800-86,Standard / foundation,"Provides the forensic process foundation: collection, examination, analysis, and reporting, adapted in the survey investigation workflow.",Background / comparison / methods foundation,nistspecialpublication800-86.pdf,Verified,Matches corpus ID 71.
70,PROV-DM: The PROV Data Model,Luc Moreau and Paolo Missier (eds.),2013,W3C Recommendation,Standard / foundation,"Core provenance vocabulary for entities, activities, agents, derivation, responsibility, and provenance bundles; maps directly to MEIRC.",Background / comparison / methods foundation,PROV-DM_ The PROV Data Model.pdf,Verified,Matches corpus ID 70.
69,TOFU: A Task of Fictitious Unlearning for LLMs,Pratyush Maini et al.,2024,COLM 2024,Foundation / benchmark,"Model-level unlearning benchmark; useful only as a conceptual foundation for verified forgetting, not as a persistent-agent-memory primary study.",Background / comparison / methods foundation,424_TOFU_A_Task_of_Fictitious_.pdf,Verified,Matches corpus ID 69; keep outside primary corpus unless used only for recovery foundations.
68,Machine Unlearning,Lucas Bourtoule et al.,2021,IEEE Symposium on Security and Privacy,Foundation,Foundational SISA unlearning work showing that removing influence differs from deleting a record; not persistent-memory-agent evidence.,Background / comparison / methods foundation,1912.03817v3.pdf,Verified,Matches corpus ID 68.
64,INJECAGENT: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,Qiusi Zhan et al.,2024,Findings of ACL 2024,Benchmark / adjacent,"A strong benchmark for indirect prompt injection and tool-mediated harm, but it evaluates single-session external-content attacks rather than persistent agent memory. Retain as a baseline for distinguishing transient injection from cross-session memory compromise.",Background / comparison / methods foundation,2024.findings-acl.624.pdf,Verified,"Matches corpus ID 64. Use in background and benchmark comparison, not the core persistent-memory forensic corpus."
63,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,Edoardo Debenedetti et al.,2024,NeurIPS 2024 Datasets and Benchmarks,Benchmark / adjacent,"Provides realistic stateful tool-use tasks, attacks, defenses, and utility-security metrics, but is not designed around cross-session persistent memory. Useful as a transient-agent security baseline.",Background / comparison / methods foundation,2406.13352v3.pdf,Verified,Matches corpus ID 63. Keep outside the core primary corpus unless used only for benchmark contrast.
58,MemBench: Towards More Comprehensive Evaluation on the Memory of LLM-Based Agents,Haoran Tan et al.,2025,Findings of ACL 2025,Benchmark / capability,"Evaluates factual and reflective memory across participation and observation scenarios. Useful as a capability benchmark substrate, but it does not directly evaluate security, forensics, or recovery.",Background / comparison / methods foundation,2025.findings-acl.989.pdf,Verified,Matches corpus ID 58. Retain in the benchmark landscape rather than the core forensic-evidence synthesis.
57,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,Di Wu et al.,2025,ICLR 2025,Benchmark / capability,"Foundational long-term memory benchmark covering extraction, multi-session reasoning, temporal reasoning, updates, and abstention. Useful for showing what capability benchmarks omit about forensic evidence and recovery.",Background / comparison / methods foundation,2410.10813v2.pdf,Verified,Matches corpus ID 57.
56,When Machine Unlearning Meets Retrieval-Augmented Generation (RAG): Keep Secret or Forget Knowledge?,Shang Wang et al.,2025,arXiv preprint,Defense / adjacent,"RAG-based behavioral unlearning is useful for recovery and reappearance discussions, but the paper primarily modifies a static knowledge base rather than an agent-written persistent memory system.",Background / comparison / methods foundation,2410.15267v2.pdf,Verified,"Matches corpus ID 56. Use as adjacent recovery literature, not a core persistent-memory-agent study."
52,Traceback of Poisoning Attacks to Retrieval-Augmented Generation,Baolei Zhang et al.,2025,ACM Web Conference 2025,Defense / traceback,"Important post-hoc traceback method that identifies poisoned RAG texts, but it targets a static knowledge database rather than agent-written persistent memory. Use as a forensic-method anchor and comparator.",Background / comparison / methods foundation,2504.21668v2.pdf,Verified,Matches corpus ID 52. DOI 10.1145/3696410.3714756.
51,BlindGuard: Safeguarding LLM-Based Multi-Agent Systems under Unknown Attacks,Rui Miao et al.,2026,arXiv preprint,Defense / multi-agent,"Unsupervised graph anomaly detection for malicious-agent propagation, including memory-poisoning attack settings. Useful for blast-radius and contagion detection, but not a persistent-memory-specific system.",Background / comparison / methods foundation,2508.08127v2.pdf,Verified,Matches corpus ID 51. Uploaded revision is dated April 2026; update year/status from the PDF.
49,ISOLATEGPT: An Execution Isolation Architecture for LLM-Based Agentic Systems,Yuhao Wu et al.,2025,NDSS 2025,Defense / architecture,"Strong execution-isolation and containment architecture for agent apps. It secures context and inter-app collaboration, but is not centred on persistent memory or post-incident reconstruction.",Background / comparison / methods foundation,2403.04960v2.pdf,Verified,Matches corpus ID 49. Use for containment and isolation background.
48,Progent: Securing AI Agents with Privilege Control,Tianneng Shi et al.,2026,arXiv preprint,Defense / privilege control,"Deterministic least-privilege enforcement over tool calls and arguments with monotonic confinement. Highly relevant to action-authority control, but not a persistent-memory-specific study.",Background / comparison / methods foundation,2504.11703v3.pdf,Verified,Matches corpus ID 48. Uploaded revision is May 2026; update year/status accordingly.
