Dimension,Category,Count,Share of 19,Study IDs,Coding note
Entry channel,Direct privileged store/KB write,1,0.05263157894736842,10,Mutually exclusive normalized entry-channel coding.
Entry channel,Query-only or conversational interaction,6,0.3157894736842105,"11, 12, 14, 30, 31, 33",Mutually exclusive normalized entry-channel coding.
Entry channel,"External content, webpage, email or tool output",4,0.21052631578947367,"13, 17, 18, 21",Mutually exclusive normalized entry-channel coding.
Entry channel,"Injected memory artefact, experience or policy",4,0.21052631578947367,"15, 16, 20, 32",Mutually exclusive normalized entry-channel coding.
Entry channel,"Shared, multimodal or peer-mediated channel",3,0.15789473684210525,"22, 24, 26",Mutually exclusive normalized entry-channel coding.
Entry channel,Adjacent durable state (file/tool/skill),1,0.05263157894736842,29,Mutually exclusive normalized entry-channel coding.
Targeted operation,Store,2,0.10526315789473684,Derived from lifecycle-point field,Multi-label; totals exceed 19 because one study can span several operations.
Targeted operation,Retrieve,18,0.9473684210526315,Derived from lifecycle-point field,Multi-label; totals exceed 19 because one study can span several operations.
Targeted operation,Write,14,0.7368421052631579,Derived from lifecycle-point field,Multi-label; totals exceed 19 because one study can span several operations.
Targeted operation,Execute,9,0.47368421052631576,Derived from lifecycle-point field,Multi-label; totals exceed 19 because one study can span several operations.
Targeted operation,Acquire,3,0.15789473684210525,Derived from lifecycle-point field,Multi-label; totals exceed 19 because one study can span several operations.
Targeted operation,Share,2,0.10526315789473684,Derived from lifecycle-point field,Multi-label; totals exceed 19 because one study can span several operations.
Targeted operation,Propagate,1,0.05263157894736842,Derived from lifecycle-point field,Multi-label; totals exceed 19 because one study can span several operations.
Targeted operation,Transform,2,0.10526315789473684,Derived from lifecycle-point field,Multi-label; totals exceed 19 because one study can span several operations.
Memory target,"Episodic, demonstration, experience or trajectory memory",4,0.21052631578947367,"10, 11, 13, 15",Multi-label; totals may exceed 19.
Memory target,"User, profile or conversational memory",4,0.21052631578947367,"12, 18, 31, 33",Multi-label; totals may exceed 19.
Memory target,"Procedural, policy, tool-selection or skill memory",4,0.21052631578947367,"15, 16, 20, 29",Multi-label; totals may exceed 19.
Memory target,"General, layered or dynamic long-term memory",4,0.21052631578947367,"14, 17, 21, 30",Multi-label; totals may exceed 19.
Memory target,Shared or multi-user/multi-agent memory,2,0.10526315789473684,"22, 26",Multi-label; totals may exceed 19.
Memory target,Multimodal memory,2,0.10526315789473684,"24, 26",Multi-label; totals may exceed 19.
Memory target,Graph-structured memory,1,0.05263157894736842,32,Multi-label; totals may exceed 19.
Temporal behaviour,Trigger- or query-conditioned,7,0.3684210526315789,"10, 11, 14, 17, 21, 30, 31",Multi-label; totals may exceed 19.
Temporal behaviour,Delayed or later-session activation,8,0.42105263157894735,"13, 17, 18, 21, 22, 24, 29, 31",Multi-label; totals may exceed 19.
Temporal behaviour,Repeated or recurrent elicitation,3,0.15789473684210525,"10, 12, 33",Multi-label; totals may exceed 19.
Temporal behaviour,Cross-task or long-horizon persistence,9,0.47368421052631576,"13, 16, 17, 18, 21, 22, 24, 26, 29",Multi-label; totals may exceed 19.
Temporal behaviour,Trigger-free semantic imitation,1,0.05263157894736842,15,Multi-label; totals may exceed 19.
Temporal behaviour,Self-reinforcing or propagating,2,0.10526315789473684,"21, 26",Multi-label; totals may exceed 19.
Propagation scope,Cross-session,18,0.9473684210526315,"10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 29, 30, 31, 32, 33",Multi-label; totals may exceed 19.
Propagation scope,Cross-agent / ecosystem,1,0.05263157894736842,26,Multi-label; totals may exceed 19.
Propagation scope,Cross-user,1,0.05263157894736842,22,Multi-label; totals may exceed 19.
Propagation scope,Cross-site,1,0.05263157894736842,13,Multi-label; totals may exceed 19.
