Manuscript section,Purpose,Core studies / IDs,Related surveys / foundations,Required table or figure,Quantitative claim to report,Current evidence status,Remaining verification,Priority
Introduction,Motivate durable-state risk and post-compromise gap,"10, 11, 13, 17, 18, 21","1, 2, 3, 7",Motivating incident chain,Report growth and core-corpus size only after final freeze,Ready,Verify final core count and publication status,High
Review Design,Explain bounded corpus and selection logic,All 39 core studies,PRISMA-ScR and survey-method foundations,Corpus-construction flow,39 core primary studies; 36 adjacent/background uploaded papers,Ready,Add search-source narrative and cut-off date,High
Memory Foundations,"Define persistent memory, forms and lifecycle","15, 22, 24, 26, 29, 32, 36","4, 5, 8, 9",Memory form × evidence-loss table,No overbroad security claims,Ready,Check terminology consistency,Medium
Evidence Landscape,"Describe attacks, defences, benchmarks and maturity",All core studies,1–9,Year/type/status charts,"Counts by attack, defence/system and benchmark",Ready,Freeze categories after final review,High
Attack Taxonomy,"Entry channel, operation, activation, propagation and evidence effects",10–33 attack studies; especially 19,"1, 7",Multidimensional attack taxonomy,"4 write channels, 9 vulnerabilities, 6 attack classes from MPBench study",Ready,Verify exact values for papers marked,High
Forensic Readiness / MEIRC,Define source-to-action evidence requirements,"16, 17, 18, 35–40","2, W3C PROV, NIST",MEIRC graph and evidence-event schema,Quantify how few core studies support attribution/causal reconstruction,Ready,Count capability columns from Core Studies,High
Incident Reconstruction,Causal confidence and post-hoc analysis,"16, 18, 24, 39, 40",2 and digital-forensics foundations,Causal-confidence ladder,Use MemAudit and trajectory-signature metrics,Partial,Verify exact accuracy/FPR values,High
Blast Radius and Propagation,Scope shared-state and multi-agent contamination,"22, 26, 29, 32, 50, 53, 55, 60",3,Propagation / dependency graph,Count studies with explicit blast-radius support,Ready,Compute final count from workbook,High
Recovery,"Rollback, revocation, forgetting and residual contamination","36, 37, 42, 55, 60, 62","1, 3, unlearning foundations",Recovery completeness model,Report which studies test post-recovery non-reappearance,Partial,Verify recovery and forgetting metrics,High
Defence Synthesis,"Compare prevention, detection, provenance and recovery value",34–55 defence/system studies,"1, 2, 3",Defence forensic-value matrix,Count prevention-only vs evidence/recovery support,Ready,Verify quantitative overhead,High
Benchmark Synthesis,Show capability and forensic-ground-truth gap,"19, 59–67",Memory benchmark surveys,Benchmark coverage matrix,State that no current benchmark spans full source-to-recovery chain,Ready,Reconfirm against full benchmark papers,High
Survey Differentiation,Prove non-overlap with existing surveys,35–40 plus all core evidence,"1, 2, 3, 4, 5, 7",Survey comparison table,No unsupported claim that provenance/recovery are absent elsewhere,Ready,Keep wording precise,High
Open Challenges,Evidence-derived gaps and research agenda,All core studies,All surveys/foundations,Challenge × evidence-gap table,Use capability counts rather than intuition,Partial,Calculate final coverage percentages,Medium
Conclusion,Summarize evidence and proposed framework,All core studies,1–3,No new figure,Use final counts and strongest empirical gaps,Partial,Update after final manuscript tables,Medium
