Batch,Study ID,Uploaded filename,Verified title,First author / organisation,Year,Publication / source,Document role,Core survey eligibility,Reason / relevance,PDF status,Local sandbox path,Matched corpus record,Metadata verified,Full-text extraction status,Notes,Upload date
1,80,2503.13657v3.pdf,Why Do Multi-Agent LLM Systems Fail?,Mert Cemri et al.,2025,NeurIPS 2025 Datasets and Benchmarks,Foundation / adjacent,Background,"Multi-agent failure taxonomy and cascading failure evidence; useful for blast-radius and propagation discussion, but not a persistent-memory primary study.",Complete PDF,/mnt/data/2503.13657v3.pdf,Yes,Yes,Not started,Matches corpus ID 80 (MAST).,2026-07-16
1,79,360051.360056.pdf,A Lattice Model of Secure Information Flow,Dorothy E. Denning,1976,Communications of the ACM 19(5),Foundation,Background,"Foundational information-flow model supporting isolation, authority, and least-privilege arguments.",Complete PDF,/mnt/data/360051.360056.pdf,Yes,Yes,Not required,Matches corpus ID 79.,2026-07-16
1,78,A_Comparison_of_Commercial_and_Military.pdf,A Comparison of Commercial and Military Computer Security Policies,David D. Clark and David R. Wilson,1987,IEEE Symposium on Security and Privacy,Foundation,Background,"Foundational integrity-policy paper supporting the distinction between byte integrity, semantic validity, and well-formed transformation.",Complete PDF,/mnt/data/A_Comparison_of_Commercial_and_Military.pdf,Yes,Yes,Not required,Matches corpus ID 78.,2026-07-16
1,77,crosby.pdf,Efficient Data Structures for Tamper-Evident Logging,Scott A. Crosby and Dan S. Wallach,2009,USENIX Security Symposium,Foundation,Background,Supports the independent append-only evidence plane and efficient proofs of event inclusion and log consistency.,Complete PDF,/mnt/data/crosby.pdf,Yes,Yes,Not required,Matches corpus ID 77.,2026-07-16
1,,Unconfirmed 619514.crdownload,Incomplete browser download,Unknown,,Unknown,Unusable file,Exclude,The .crdownload file is incomplete and cannot be treated as a paper until the completed PDF is uploaded.,Incomplete / unusable,/mnt/data/Unconfirmed 619514.crdownload,No,No,Blocked,Please re-upload the completed PDF; do not include in counts.,2026-07-16
1,71,nistspecialpublication800-86.pdf,Guide to Integrating Forensic Techniques into Incident Response,Karen Kent et al.,2006,NIST Special Publication 800-86,Standard / foundation,Background,"Provides the forensic process foundation: collection, examination, analysis, and reporting, adapted in the survey investigation workflow.",Complete PDF,/mnt/data/nistspecialpublication800-86.pdf,Yes,Yes,Not required,Matches corpus ID 71.,2026-07-16
1,70,PROV-DM_ The PROV Data Model.pdf,PROV-DM: The PROV Data Model,Luc Moreau and Paolo Missier (eds.),2013,W3C Recommendation,Standard / foundation,Background,"Core provenance vocabulary for entities, activities, agents, derivation, responsibility, and provenance bundles; maps directly to MEIRC.",Complete PDF,/mnt/data/PROV-DM_ The PROV Data Model.pdf,Yes,Yes,Not required,Matches corpus ID 70.,2026-07-16
1,69,424_TOFU_A_Task_of_Fictitious_.pdf,TOFU: A Task of Fictitious Unlearning for LLMs,Pratyush Maini et al.,2024,COLM 2024,Foundation / benchmark,Adjacent,"Model-level unlearning benchmark; useful only as a conceptual foundation for verified forgetting, not as a persistent-agent-memory primary study.",Complete PDF,/mnt/data/424_TOFU_A_Task_of_Fictitious_.pdf,Yes,Yes,Not started,Matches corpus ID 69; keep outside primary corpus unless used only for recovery foundations.,2026-07-16
1,68,1912.03817v3.pdf,Machine Unlearning,Lucas Bourtoule et al.,2021,IEEE Symposium on Security and Privacy,Foundation,Adjacent,Foundational SISA unlearning work showing that removing influence differs from deleting a record; not persistent-memory-agent evidence.,Complete PDF,/mnt/data/1912.03817v3.pdf,Yes,Yes,Not started,Matches corpus ID 68.,2026-07-16
1,67,2602.16901v1.pdf,AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,Tanqiu Jiang et al.,2026,arXiv preprint,Benchmark,Include candidate,Includes long-horizon memory poisoning in persistent-memory environments; relevant benchmark evidence for temporal attacks and memory-to-action consequences.,Complete PDF,/mnt/data/2602.16901v1.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 67.,2026-07-16
1,66,2607.01071v2.pdf,MemSyco-Bench: Benchmarking Sycophancy in Agent Memory,Zhishang Xiang et al.,2026,arXiv preprint / work in progress,Benchmark,Include candidate,Directly evaluates how retrieved persistent memories improperly influence downstream reasoning and decisions; relevant to semantic validity and causal influence.,Complete PDF,/mnt/data/2607.01071v2.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 66; published before the 13 July 2026 evidence cut-off (2 July 2026).,2026-07-16
1,65,7260_Agent_Security_Bench_ASB_.pdf,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-Based Agents,Hanrong Zhang et al.,2025,ICLR 2025,Benchmark,Include candidate,Benchmarks memory poisoning alongside other agent attacks and defences; relevant as broad comparative benchmark but not forensic-specific.,Complete PDF,/mnt/data/7260_Agent_Security_Bench_ASB_.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 65.,2026-07-16
2,64,2024.findings-acl.624.pdf,INJECAGENT: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,Qiusi Zhan et al.,2024,Findings of ACL 2024,Benchmark / adjacent,Adjacent,"A strong benchmark for indirect prompt injection and tool-mediated harm, but it evaluates single-session external-content attacks rather than persistent agent memory. Retain as a baseline for distinguishing transient injection from cross-session memory compromise.",Complete PDF,/mnt/data/2024.findings-acl.624.pdf,Yes,Yes,Not required,"Matches corpus ID 64. Use in background and benchmark comparison, not the core persistent-memory forensic corpus.",2026-07-16
2,63,2406.13352v3.pdf,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,Edoardo Debenedetti et al.,2024,NeurIPS 2024 Datasets and Benchmarks,Benchmark / adjacent,Adjacent,"Provides realistic stateful tool-use tasks, attacks, defenses, and utility-security metrics, but is not designed around cross-session persistent memory. Useful as a transient-agent security baseline.",Complete PDF,/mnt/data/2406.13352v3.pdf,Yes,Yes,Not required,Matches corpus ID 63. Keep outside the core primary corpus unless used only for benchmark contrast.,2026-07-16
2,62,2602.01146v2.pdf,PersistBench: When Should Long-Term Memories Be Forgotten by LLMs?,Sidharth Pulipaka et al.,2026,ICML 2026 / PMLR 306,Benchmark,Include candidate,"Directly evaluates persistent-memory safety through cross-domain leakage, memory-induced sycophancy, and beneficial-memory controls. Highly relevant to semantic validity, temporal scope, and forgetting decisions.",Complete PDF,/mnt/data/2602.01146v2.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 62. Uploaded version identifies the paper as an ICML 2026 proceedings paper; update final bibliography from the official PMLR record.,2026-07-16
2,61,2511.14937v1.pdf,CIMemories: A Compositional Benchmark for Contextual Integrity of Persistent Memory in LLMs,Niloofar Mireshghallah et al.,2025,arXiv preprint,Benchmark,Include candidate,"Direct persistent-memory privacy benchmark measuring context-dependent information-flow violations, cumulative leakage across tasks/runs, and utility trade-offs.",Complete PDF,/mnt/data/2511.14937v1.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 61. Treat the uploaded version as a preprint unless an official ICLR 2026 record is verified separately.,2026-07-16
2,60,2606.18829v1.pdf,GATEMEM: Benchmarking Memory Governance in Multi-Principal Shared-Memory Agents,Zhe Ren et al.,2026,arXiv preprint,Benchmark,Include candidate,"Directly evaluates shared persistent memory across multiple principals using utility, access control, and active forgetting. Central evidence for governance, blast radius, authority, and post-deletion non-recovery.",Complete PDF,/mnt/data/2606.18829v1.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 60.,2026-07-16
2,59,2026.acl-long.370.pdf,Mem2ActBench: A Benchmark for Evaluating Long-Term Memory Utilization in Task-Oriented Autonomous Agents,Yiting Shen et al.,2026,ACL 2026 Long Papers,Benchmark,Include candidate,Evaluates whether persistent memory is actively translated into tool calls and grounded parameters. Essential for the memory-to-action link underlying causal reconstruction.,Complete PDF,/mnt/data/2026.acl-long.370.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 59.,2026-07-16
2,58,2025.findings-acl.989.pdf,MemBench: Towards More Comprehensive Evaluation on the Memory of LLM-Based Agents,Haoran Tan et al.,2025,Findings of ACL 2025,Benchmark / capability,Adjacent,"Evaluates factual and reflective memory across participation and observation scenarios. Useful as a capability benchmark substrate, but it does not directly evaluate security, forensics, or recovery.",Complete PDF,/mnt/data/2025.findings-acl.989.pdf,Yes,Yes,Not required,Matches corpus ID 58. Retain in the benchmark landscape rather than the core forensic-evidence synthesis.,2026-07-16
