Requested item,Status,Prepared sheet,Action still required
39-study corpus census with five capability codes,Prepared,Appendix A Census,Verify final bibliographic metadata before submission.
Overall Yes/Partial/No values,Prepared,Capability Values,No additional calculation required.
Role-by-capability and subset sensitivity,Prepared,Capability Values,Retain raw fractions as primary manuscript values.
Boundary recoding thresholds,Prepared,Capability Values,State that causal reconstruction is most sensitive to a one-step recode.
Attack-dimension distribution,Partially prepared,Attack Distribution,Normalized forensic-effect coding requires a new manual recoding pass.
Three-incident retrospective MEIRC mapping,Provisional,MEIRC Retrospective,Verify each layer against exact paper pages/tables.
Benchmark coverage symbols,Prepared,Benchmark Symbols,Resolve any manuscript/workbook discrepancy for ASB before submission.
Directional survey-overlap values,Prepared,Survey Coverage Scores,Publish dimension-level coding in the appendix.
Independent-coder agreement / Cohen's kappa,Cannot derive,—,A genuine second reviewer must independently code the sample.
Per-database search counts and execution dates,Not in this workbook,—,Recover from original database exports/search log; do not invent.
Repository DOI,Not available,—,Deposit the artefacts and insert the resolving DOI.
