Dimension,Category,Count,Share of 21,Study IDs,Coding note
Entry channel,Direct privileged store/KB write,1,0.047619047619047616,10,Mutually exclusive normalized entry-channel coding.
Entry channel,Query-only or conversational interaction,7,0.3333333333333333,"11, 12, 14, 30, 31, 33, 69",Mutually exclusive normalized entry-channel coding.
Entry channel,"External content, webpage, email, tool output, or untrusted context",5,0.23809523809523808,"13, 17, 18, 21, 68",Mutually exclusive normalized entry-channel coding.
Entry channel,"Injected memory artefact, experience or policy",4,0.19047619047619047,"15, 16, 20, 32",Mutually exclusive normalized entry-channel coding.
Entry channel,"Shared, multimodal or peer-mediated channel",3,0.14285714285714285,"22, 24, 26",Mutually exclusive normalized entry-channel coding.
Entry channel,Adjacent durable state (file/tool/skill),1,0.047619047619047616,29,Mutually exclusive normalized entry-channel coding.
Targeted operation,Store,3,0.14285714285714285,Derived from lifecycle-point field,Multi-label; totals exceed 21 because one study can span several operations.
Targeted operation,Retrieve,20,0.9523809523809523,Derived from lifecycle-point field,Multi-label; totals exceed 21 because one study can span several operations.
Targeted operation,Write,15,0.7142857142857143,Derived from lifecycle-point field,Multi-label; totals exceed 21 because one study can span several operations.
Targeted operation,Execute,11,0.5238095238095238,Derived from lifecycle-point field,Multi-label; totals exceed 21 because one study can span several operations.
Targeted operation,Acquire,4,0.19047619047619047,Derived from lifecycle-point field,Multi-label; totals exceed 21 because one study can span several operations.
Targeted operation,Share,2,0.09523809523809523,Derived from lifecycle-point field,Multi-label; totals exceed 21 because one study can span several operations.
Targeted operation,Propagate,1,0.047619047619047616,Derived from lifecycle-point field,Multi-label; totals exceed 21 because one study can span several operations.
Targeted operation,Transform,3,0.14285714285714285,Derived from lifecycle-point field,Multi-label; totals exceed 21 because one study can span several operations.
Memory target,"Episodic, demonstration, experience or trajectory memory",4,0.19047619047619047,"10, 11, 13, 15",Multi-label; totals may exceed 21.
Memory target,"User, profile or conversational memory",4,0.19047619047619047,"12, 18, 31, 33",Multi-label; totals may exceed 21.
Memory target,"Procedural, policy, tool-selection or skill memory",4,0.19047619047619047,"15, 16, 20, 29",Multi-label; totals may exceed 21.
Memory target,"General, layered or dynamic long-term memory",6,0.2857142857142857,"14, 17, 21, 30, 68, 69",Multi-label; totals may exceed 21.
Memory target,Shared or multi-user/multi-agent memory,3,0.14285714285714285,"22, 26, 68",Multi-label; totals may exceed 21.
Memory target,Multimodal memory,2,0.09523809523809523,"24, 26",Multi-label; totals may exceed 21.
Memory target,Graph-structured memory,1,0.047619047619047616,32,Multi-label; totals may exceed 21.
Temporal behaviour,Trigger- or query-conditioned,7,0.3333333333333333,"10, 11, 14, 17, 21, 30, 31",Multi-label; totals may exceed 21.
Temporal behaviour,Delayed or later-session activation,9,0.42857142857142855,"13, 17, 18, 21, 22, 24, 29, 31, 68",Multi-label; totals may exceed 21.
Temporal behaviour,Repeated or recurrent elicitation,4,0.19047619047619047,"10, 12, 33, 69",Multi-label; totals may exceed 21.
Temporal behaviour,Cross-task or long-horizon persistence,10,0.47619047619047616,"13, 16, 17, 18, 21, 22, 24, 26, 29, 68",Multi-label; totals may exceed 21.
Temporal behaviour,Trigger-free semantic imitation,1,0.047619047619047616,15,Multi-label; totals may exceed 21.
Temporal behaviour,Self-reinforcing or propagating,2,0.09523809523809523,"21, 26",Multi-label; totals may exceed 21.
Propagation scope,Cross-session,20,0.9523809523809523,"10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 29, 30, 31, 32, 33, 68, 69",Multi-label; totals may exceed 21.
Propagation scope,Cross-agent / ecosystem,2,0.09523809523809523,"26, 68",Multi-label; totals may exceed 21.
Propagation scope,Cross-user,1,0.047619047619047616,22,Multi-label; totals may exceed 21.
Propagation scope,Cross-site,1,0.047619047619047616,13,Multi-label; totals may exceed 21.
